"","year","month","day","date","reg_season","mode"
"528",1981,6,11,1981-06-11,"open","Private"
"529",1981,6,12,1981-06-12,"open","Private"
"530",1981,6,13,1981-06-13,"open","Private"
"531",1981,6,14,1981-06-14,"open","Private"
"532",1981,6,15,1981-06-15,"open","Private"
"533",1981,6,16,1981-06-16,"open","Private"
"534",1981,6,17,1981-06-17,"open","Private"
"535",1981,6,18,1981-06-18,"open","Private"
"536",1981,6,19,1981-06-19,"open","Private"
"537",1981,6,20,1981-06-20,"open","Private"
"538",1981,6,21,1981-06-21,"open","Private"
"539",1981,6,22,1981-06-22,"open","Private"
"540",1981,6,23,1981-06-23,"open","Private"
"541",1981,6,24,1981-06-24,"open","Private"
"542",1981,6,25,1981-06-25,"open","Private"
"543",1981,6,26,1981-06-26,"open","Private"
"544",1981,6,27,1981-06-27,"open","Private"
"545",1981,6,28,1981-06-28,"open","Private"
"546",1981,6,29,1981-06-29,"open","Private"
"547",1981,6,30,1981-06-30,"open","Private"
"548",1981,7,1,1981-07-01,"open","Private"
"549",1981,7,2,1981-07-02,"open","Private"
"550",1981,7,3,1981-07-03,"open","Private"
"551",1981,7,4,1981-07-04,"open","Private"
"552",1981,7,5,1981-07-05,"open","Private"
"553",1981,7,6,1981-07-06,"open","Private"
"554",1981,7,7,1981-07-07,"open","Private"
"555",1981,7,8,1981-07-08,"open","Private"
"556",1981,7,9,1981-07-09,"open","Private"
"557",1981,7,10,1981-07-10,"open","Private"
"558",1981,7,11,1981-07-11,"open","Private"
"559",1981,7,12,1981-07-12,"open","Private"
"560",1981,7,13,1981-07-13,"open","Private"
"561",1981,7,14,1981-07-14,"open","Private"
"562",1981,7,15,1981-07-15,"open","Private"
"563",1981,7,16,1981-07-16,"open","Private"
"564",1981,7,17,1981-07-17,"open","Private"
"565",1981,7,18,1981-07-18,"open","Private"
"566",1981,7,19,1981-07-19,"open","Private"
"567",1981,7,20,1981-07-20,"open","Private"
"568",1981,7,21,1981-07-21,"open","Private"
"569",1981,7,22,1981-07-22,"open","Private"
"570",1981,7,23,1981-07-23,"open","Private"
"571",1981,7,24,1981-07-24,"open","Private"
"572",1981,7,25,1981-07-25,"open","Private"
"573",1981,7,26,1981-07-26,"open","Private"
"574",1981,7,27,1981-07-27,"open","Private"
"575",1981,7,28,1981-07-28,"open","Private"
"576",1981,7,29,1981-07-29,"open","Private"
"577",1981,7,30,1981-07-30,"open","Private"
"578",1981,7,31,1981-07-31,"open","Private"
"579",1981,8,1,1981-08-01,"open","Private"
